Manufacturer,Model Name,Country,Year Created,Electrolyzer Type,Input Power Type (AC/DC),Power Consumption,Water Consumption,Hydrogen Production Rate,Hydrogen Output Pressure,Hydrogen Output Putiry,Efficiency,System Lifetime,Operating/Turndown Range (%),Footprint,Weight,Modular?,Compressor Included?,Compressor Output Pressure,Minimum Environmental Temperature ,Maximum Environmental Temperature,Price ($USD),Notes
,Nel,A485,Norway,-,KOH,DC,4.5kWh/Nm^3 (50 kWh/kg),0.9 L/Nm^3 (10 L/kg),485 Nm^3/hr (1046 kg/24hr),0.03 barg (0.435 psig),99,-,-,15-100,14.1m W x 4.3m D x 4.3m H (46.3ft x 14.1ft x 14.1ft),-,yes,no,-,5 C (41 F),45 C (113 F),-,Engineering support for upstream & downstream
,Nel,PSM,Norway,-,PEM,DC,4.7 kWh/Nm^3 (53.2 kWh/kg),0.9 L/Nm^3 (10 L/kg),2020 Nm^3/hr (4300 kg/24hr),30 barg (435 psig),99,-,-,10-100,13.4m W x 2.4m D x 2.9m H (44ft x 7.9ft x 9.5ft),-,yes,no,-,-30 C (-22 F),50 C (122 F),-,
,Nel,MC250,Norway,-,PEM,DC,4.7 kWh/Nm^3 (53.2 kWh/kg),1.5 L/nm^3 (15.9 L/kg),246 Nm^3/hr (531 kg/24h),30 barg (435 psig),99.95,-,-,10-100,12.2m W x 2.5m D x 3m H (40ft x 8ft x 9.9 ft),-,yes,no,-,-20 C (-4 F),40 C (104 F),-,"Purifier optional, ups purity to 99.999%. System is containerized."
,Nel,MC500,Norway,-,PEM,DC,4.7 kWh/Nm^3 (53.2 kWh/kg),1.5 L/nm^3 (15.9 L/kg),492 Nm^3/hr (1061 kg/24hr),30 barg (435 psig),99.95,-,-,10-100,12.2m W x 2.5m D x 3m H (40ft x 8ft x 9.9 ft),-,yes,no,-,-20 C (-4 F),40 C (104 F),-,"Purifier optional, ups purity to 99.999%. System is containerized."
,Nel,C10,Norway,-,PEM,DC,6.2 kWh/Nm^3,9 L/hr,10 Nm^3/hr,30 barg (435 psig),99.999,-,-,0-100,2.5m W x 1.2m D x 2m H (8.2ft x 3.9ft x 6.6ft),-,maybe,no,-,5 C (41 F),40 C (104 F),-,Use as replacement for hydrogen tube trailers or liquid hydrogen storage
,Nel,C20,Norway,-,PEM,DC,6.0 kWh/Nm^3,17.9 L/hr,20 Nm^3/hr,30 barg (435 psig),99.999,-,-,0-100,2.5m W x 1.2m D x 2m H (8.2ft x 3.9ft x 6.6ft),-,maybe,no,-,5 C (41 F),40 C (104 F),-,Use as replacement for hydrogen tube trailers or liquid hydrogen storage
,Nel,C30,Norway,-,PEM,DC,5.8 kWh/Nm^3,26.9 L/hr,30 Nm^3/hr,30 barg (435 psig),99.999,-,-,0-100,2.5m W x 1.2m D x 2m H (8.2ft x 3.9ft x 6.6ft),-,maybe,no,-,5 C (41 F),40 C (104 F),-,Use as replacement for hydrogen tube trailers or liquid hydrogen storage
,Nel,H2,Norway,-,PEM,DC,7.3 kWh/Nm^3,1.83 L/hr,2 Nm^3/hr,15 barg (218 psig),99.999,-,-,0-100,1.8m W x 0.8m D x 1.9m H (5.9ft x 2.6ft x 6.2ft),-,maybe,no,-,5 C (41 F),50 C (122 F),-,Small-scale. 30 barg (435 psig) option available.
,Nel,H4,Norway,-,PEM,DC,7.0 kWh/Nm^3,3.66 L/hr,4 Nm^3/hr,15 barg (218 psig),99.999,-,-,0-100,1.8m W x 0.8m D x 1.9m H (5.9ft x 2.6ft x 6.2ft),-,maybe,no,-,5 C (41 F),50 C (122 F),-,Small-scale. 30 barg (435 psig) option available.
,Nel,H6,Norway,-,PEM,DC,6.8 kWh/Nm^3,5.5 L/hr,6 Nm^3/hr,15 barg (218 psig),99.999,-,-,0-100,1.8m W x 0.8m D x 1.9m H (5.9ft x 2.6ft x 6.2ft),-,maybe,no,-,5 C (41 F),50 C (122 F),-,Small-scale. 30 barg (435 psig) option available.
,Nel,S10,Norway,-,PEM,DC,6.1 kWh/Nm^3,0.26 L/hr,0.27 Nm^3/hr,13.8 barg (200 psig),99.999,-,-,0-100,0.8m W x 1m D x 1.1m H (2.6ft x 3.3ft x 3.6ft),-,maybe,no,-,5 C (41 F),40 C (104 F),-,"Smallest scale, indoor, use as replacement for hydrogen cylinders. 5 to 50C (41 to 122F) option available."
,Nel,S20,Norway,-,PEM,DC,6.1 kWh/Nm^3,0.47 L/hr,0.53 Nm^3/hr,13.8 barg (200 psig),99.999,-,-,0-100,0.8m W x 1m D x 1.1m H (2.6ft x 3.3ft x 3.6ft),-,maybe,no,-,5 C (41 F),40 C (104 F),-,"Smallest scale, indoor, use as replacement for hydrogen cylinders"
,Nel,S40,Norway,-,PEM,DC,6.1 kWh/Nm^3,0.94 L/hr,1.05 Nm^3/hr,13.8 barg (200 psig),99.999,-,-,0-100,0.8m W x 1m D x 1.1m H (2.6ft x 3.3ft x 3.6ft),-,maybe,no,-,5 C (41 F),40 C (104 F),-,"Smallest scale, indoor, use as replacement for hydrogen cylinders"
,Accerlera,HyLYZER 250-30,US,-,PEM,AC,54.4 kWh/kg,13-17 L/kg,250 Nm^3/hr (22.5 kg/hr),30 barg (435 psig),99.998,rectifier: 97%,-,7-100,17m x 13m,-,yes,yes?,?,-20 C (-4 F),40 C (104 F),-,Nominal power rating: 1.25 MW. Includes rectifier to turn AC from grid into DC for electrolysis. Rectifier specs: IGBT; 6 to 36kV; 50/60 Hz; 1.5 MVA; 97% effciency
,Accerlera,HyLYZER 500-30,US,-,PEM,AC,53.2 kWh/kg,13-17 L/kg,500 Nm^3/hr (45 kg/hr),30 barg (435 psig),99.998,rectifier: 97%,-,7-100,17m x 13m,-,yes,yes?,?,-20 C (-4 F),40 C (104 F),-,Nominal power rating: 2.5 MW. Includes rectifier to turn AC from grid into DC for electrolysis. Rectifier specs: IGBT; 6 to 36kV; 50/60 Hz; 3.2 MVA; 97% effciency
,Accerlera,HyLYZER 1000-30,US,-,PEM,AC,52 kWh/kg,9 L/kg,1000 Nm^3/hr (90 kg/hr),30 barg (435 psig),99.9,rectifier: 97.5%,-,15-100,Electrolyzer: 8.4 m x 2.3 m; Rectifier: 13.5 m x 5.1 m,-,yes,yes?,?,5 C (41 F),40 C (104 F),-,Nominal power rating: 5 MW. Includes rectifier to turn AC from grid into DC for electrolysis. IGBT; 6to 33kV; 50/ 60Hz; 5.8 6to 6.85 MVA; 97.5% efficiency
,SIEMENS Energy,Elyzer P-300,Germany,-,PEM,AC,17.5 MW,10 L/kg,335 kg/hr,0.1 bar,99.999,>75.5%,-,40-100,-,-,yes,no,-,-,-,-,
,ITM,TRIDENT,,-,PEM,DC,2 MW,-,36 kg/hr,31 barg,saturated,-,-,25-100,2.5m x 1.2m x 2.2m,-,maybe,no,-,-20 C (-4 F),40 C (104 F),-,
