Model,Series,Technology,STC Maximum Power (Pm) [W],Power Tolerance [W],STC Max Power Voltage (Vm) [V],STC Max Power Current (Im) [A],STC Open Circuit Voltage (Voc) [V],STC Short Circuit Current (Isc) [A],Module Efficiency [%],NMOT Maximum Power (Pm) [W],NMOT Max Power Voltage (Vm) [V],NMOT Max Power Current (Im) [A],NMOT Open Circuit Voltage (Voc) [V],NMOT Short Circuit Current (Isc) [A],Dimensions,Weight,Number of Cells,Front Glass,Rear Glass,Frame,Junction Box,Output Cables,Connector,Maximum System Voltage,Maximum Series Fuse Rating,Operating Temperature,Mechanical Load,Hail Test,Bifaciality,Application Rating,Nominal Module Operating Temperature,Temperature Coefficient of Pmax,Temperature Coefficient of Voc,Temperature Coefficient of Isc,Container,Pieces per Pallet,Packaging Box Size,Pieces per Container,Product Warranty,Linear Power Output Warranty
SP-M10/144HG540W,CYGNUS,PERC Bifacial,540,0~+5,41.13,13.13,49.73,13.89,20.9,408,37.89,10.77,46.63,11.19,2278×1134×30 mm,32.0 kg,144 (6x24),2.0mm AR-coating heat-strengthened glass,2.0mm heat-strengthened glass,"Anodized aluminum alloy, silver color",IP68,"4mm², 300mm or customized length",MC4 Compatible,DC1500V (IEC),25A,-40℃～+85℃,5400Pa/2400Pa,25mm diameter hail at 23m/s,70±5%,Class A,45±2℃,-0.35%/℃,-0.28%/℃,0.05%/℃,40'HC,36,2335×1145×1260 mm,720,15 Years,30 Years
SP-M10/144HG545W,CYGNUS,PERC Bifacial,545,0~+5,41.32,13.19,49.92,13.95,21.1,412,38.08,10.82,46.82,11.25,2278×1134×30 mm,32.0 kg,144 (6x24),2.0mm AR-coating heat-strengthened glass,2.0mm heat-strengthened glass,"Anodized aluminum alloy, silver color",IP68,"4mm², 300mm or customized length",MC4 Compatible,DC1500V (IEC),25A,-40℃～+85℃,5400Pa/2400Pa,25mm diameter hail at 23m/s,70±5%,Class A,45±2℃,-0.35%/℃,-0.28%/℃,0.05%/℃,40'HC,36,2335×1145×1260 mm,720,15 Years,30 Years
SP-M10/144HG550W,CYGNUS,PERC Bifacial,550,0~+5,41.51,13.25,50.11,14.01,21.3,416,38.27,10.87,47.01,11.31,2278×1134×30 mm,32.0 kg,144 (6x24),2.0mm AR-coating heat-strengthened glass,2.0mm heat-strengthened glass,"Anodized aluminum alloy, silver color",IP68,"4mm², 300mm or customized length",MC4 Compatible,DC1500V (IEC),25A,-40℃～+85℃,5400Pa/2400Pa,25mm diameter hail at 23m/s,70±5%,Class A,45±2℃,-0.35%/℃,-0.28%/℃,0.05%/℃,40'HC,36,2335×1145×1260 mm,720,15 Years,30 Years
SP-M10/144HG555W,CYGNUS,PERC Bifacial,555,0~+5,41.7,13.31,50.3,14.07,21.5,420,38.46,10.92,47.2,11.37,2278×1134×30 mm,32.0 kg,144 (6x24),2.0mm AR-coating heat-strengthened glass,2.0mm heat-strengthened glass,"Anodized aluminum alloy, silver color",IP68,"4mm², 300mm or customized length",MC4 Compatible,DC1500V (IEC),25A,-40℃～+85℃,5400Pa/2400Pa,25mm diameter hail at 23m/s,70±5%,Class A,45±2℃,-0.35%/℃,-0.28%/℃,0.05%/℃,40'HC,36,2335×1145×1260 mm,720,15 Years,30 Years
SP-M10/144HG560W,CYGNUS,PERC Bifacial,560,0~+5,41.89,13.37,50.49,14.13,21.7,424,38.65,10.97,47.39,11.43,2278×1134×30 mm,32.0 kg,144 (6x24),2.0mm AR-coating heat-strengthened glass,2.0mm heat-strengthened glass,"Anodized aluminum alloy, silver color",IP68,"4mm², 300mm or customized length",MC4 Compatible,DC1500V (IEC),25A,-40℃～+85℃,5400Pa/2400Pa,25mm diameter hail at 23m/s,70±5%,Class A,45±2℃,-0.35%/℃,-0.28%/℃,0.05%/℃,40'HC,36,2335×1145×1260 mm,720,15 Years,30 Years
SKT410M10-108D4,,N Type Mono Half Cell PV Module,410,"(0,+4.99W)",31.6,12.98,38.2,13.49,21,313.7,29.6,10.6,36.3,,1722x1134x30 mm,21 kg,N-Type 16BB 182mm (2x54pcs),AR Coated 1.6+1.6 mm tempered glass,,Anodized aluminum alloy,IP68,"4.0mm², 1200mm (+),1200mm (-)",MC4 Compatible,1500Vdc (IEC / UL),30A,-40~+85℃,"Front 5400Pa, Rear 2400Pa",,,,45±2℃,-0.290%/℃,-0.250%/℃,+0.045%/℃,40'HQ,37,,962,15 Years,30 Years
SKT415M10-108D4,,N Type Mono Half Cell PV Module,415,"(0,+4.99W)",31.79,13.06,38.33,13.6,21.3,317.3,29.71,10.68,36.4,,1722x1134x30 mm,21 kg,N-Type 16BB 182mm (2x54pcs),AR Coated 1.6+1.6 mm tempered glass,,Anodized aluminum alloy,IP68,"4.0mm², 1200mm (+),1200mm (-)",MC4 Compatible,1500Vdc (IEC / UL),30A,-40~+85℃,"Front 5400Pa, Rear 2400Pa",,,,45±2℃,-0.290%/℃,-0.250%/℃,+0.045%/℃,40'HQ,37,,962,15 Years,30 Years
SKT420M10-108D4,,N Type Mono Half Cell PV Module,420,"(0,+4.99W)",31.97,13.14,38.46,13.71,21.5,321.1,29.9,10.74,36.5,,1722x1134x30 mm,21 kg,N-Type 16BB 182mm (2x54pcs),AR Coated 1.6+1.6 mm tempered glass,,Anodized aluminum alloy,IP68,"4.0mm², 1200mm (+),1200mm (-)",MC4 Compatible,1500Vdc (IEC / UL),30A,-40~+85℃,"Front 5400Pa, Rear 2400Pa",,,,45±2℃,-0.290%/℃,-0.250%/℃,+0.045%/℃,40'HQ,37,,962,15 Years,30 Years
SKT425M10-108D4,,N Type Mono Half Cell PV Module,425,"(0,+4.99W)",32.15,13.22,38.59,13.81,21.8,325,30.01,10.83,36.6,,1722x1134x30 mm,21 kg,N-Type 16BB 182mm (2x54pcs),AR Coated 1.6+1.6 mm tempered glass,,Anodized aluminum alloy,IP68,"4.0mm², 1200mm (+),1200mm (-)",MC4 Compatible,1500Vdc (IEC / UL),30A,-40~+85℃,"Front 5400Pa, Rear 2400Pa",,,,45±2℃,-0.290%/℃,-0.250%/℃,+0.045%/℃,40'HQ,37,,962,15 Years,30 Years
SKT430M10-108D4,,N Type Mono Half Cell PV Module,430,"(0,+4.99W)",32.34,13.3,38.72,13.91,22,328.7,30.19,10.89,36.8,,1722x1134x30 mm,21 kg,N-Type 16BB 182mm (2x54pcs),AR Coated 1.6+1.6 mm tempered glass,,Anodized aluminum alloy,IP68,"4.0mm², 1200mm (+),1200mm (-)",MC4 Compatible,1500Vdc (IEC / UL),30A,-40~+85℃,"Front 5400Pa, Rear 2400Pa",,,,45±2℃,-0.290%/℃,-0.250%/℃,+0.045%/℃,40'HQ,37,,962,15 Years,30 Years
